Antecedents,Consequents,Confidence
"500000090,500000092",500000024,0.6159420289855073
"500000319,500000092",500000024,0.6079136690647483
500000658,500000656,0.79126213592233
500000074,500000024,0.6831683168316831
"500000032,500000092",500000024,0.7113402061855669
"500000027,500000319",500000092,0.6650485436893203
"500000079,500000066",500000024,0.7303370786516854
"500000066,500000090,500000032",500000024,0.6611111111111111
"500000066,500000092",500000024,0.6820809248554913
"500000066,500000092",500000027,0.6416184971098265
"500000027,500000066",500000092,0.7070063694267515
"500000079,500000032",500000024,0.6424242424242423
"500000066,500000090,500000319",500000024,0.6583850931677019
"500000079,500000090",500000024,0.6069364161849711
"500000027,500000066",500000024,0.6178343949044587
"500000066,500000319,500000032",500000024,0.6068965517241379
"500000027,500000090,500000092",500000024,0.6027397260273972
"500000090,500000319,500000092",500000024,0.6086956521739131
"500000090,500000319,500000032",500000024,0.64
"500000027,500000319,500000024",500000092,0.7358490566037735
"500000319,500000032,500000092",500000024,0.7959183673469387
"500000066,500000319,500000092",500000024,0.7281553398058253
"500000092,500000066,500000024",500000319,0.635593220338983
"500000092,500000066,500000024",500000032,0.6101694915254238
"500000066,500000032,500000092",500000024,0.8888888888888891
"500000027,500000032,500000024",500000092,0.6545454545454547
"500000027,500000032,500000092",500000024,0.6923076923076923
"500000090,500000032,500000092",500000024,0.788888888888889
"500000066,500000090,500000092",500000024,0.8160919540229885
"500000092,500000066,500000024",500000090,0.6016949152542374
"500000027,500000090,500000319",500000092,0.6513761467889909
"500000026,500000092",500000027,0.8214285714285713
"500000066,500000027,500000024",500000092,0.6907216494845361
"500000066,500000027,500000092",500000024,0.6036036036036037
"500000079,500000066,500000032",500000024,0.7951807228915662
"500000079,500000032,500000024",500000066,0.6226415094339622
"500000027,500000090,500000032",500000024,0.6808510638297873
"500000066,500000319,500000027",500000092,0.7710843373493975
"500000066,500000319,500000092",500000027,0.6213592233009709
"500000074,500000319",500000024,0.7974683544303798
"500000079,500000319",500000024,0.6428571428571428
"500000074,500000092",500000024,0.9242424242424242
"500000079,500000066,500000090",500000024,0.7922077922077922
"500000027,500000364",500000026,0.8676470588235294
"500000066,500000090,500000092",500000319,0.6666666666666666
"500000066,500000090,500000027",500000024,0.7250000000000001
"500000066,500000032,500000092",500000319,0.7037037037037038
"500000026,500000066",500000319,0.6222222222222222
"500000066,500000090,500000027",500000092,0.7000000000000001
"500000066,500000090,500000092",500000027,0.6436781609195402
"500000090,500000032,500000092",500000027,0.6222222222222222
500000410,500000026,0.6179775280898876
500000410,500000090,0.6179775280898876
"500000066,500000027,500000032",500000024,0.7857142857142857
"500000066,500000370",500000371,0.6
"500000079,500000092",500000024,0.7571428571428571
"500000026,500000032",500000090,0.6091954022988505
"500000066,500000027,500000032",500000092,0.7428571428571429
"500000066,500000032,500000092",500000027,0.6419753086419754
"500000027,500000319,500000032",500000092,0.6933333333333334
"500000364,500000092",500000027,0.8947368421052632
"500000027,500000364",500000092,0.75
"500000026,500000092",500000364,0.6071428571428571
"500000364,500000092",500000026,0.8947368421052632
"500000027,500000319,500000032",500000024,0.68
"500000371,500000092",500000319,0.6578947368421053
"500000066,500000090,500000027",500000319,0.6250000000000001
"500000066,500000319,500000027",500000090,0.6024096385542168
"500000066,500000032,500000092","500000319,500000024",0.617283950617284
"500000066,500000319,500000032,500000092",500000024,0.8771929824561403
"500000066,500000319,500000024,500000092",500000032,0.6666666666666667
"500000066,500000024,500000032,500000092",500000319,0.6944444444444444
"500000024,500000319,500000032,500000092",500000066,0.6410256410256411
"500000547,500000032",500000024,0.6712328767123288
